213.213.194.114 - - [01/Jan/2018:00:46:32 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 48 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:46:45 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 49 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:47:07 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 50 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:47:23 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 51 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:47:52 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 52 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:48:12 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 53 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:48:22 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 54 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:48:42 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 55 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:49:12 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 56 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:49:32 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 57 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:49:42 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 58 - - 0ms
